prompt_strategy,sentences_per_prompt,overlap,total_triples,unique_s,unique_p,unique_o,bad_triples
PromptStrategy.PREVIOUS_SENTENCES,1,0,25.3,9.42,17.74,23.14,0.0
PromptStrategy.PREVIOUS_SENTENCES,2,0,22.54,7.08,15.17,20.66,0.04
PromptStrategy.PREVIOUS_SENTENCES,2,1,29.87,7.7,18.16,24.27,0.02
PromptStrategy.PREVIOUS_SENTENCES,3,0,20.57,5.64,13.88,18.82,0.07
PromptStrategy.PREVIOUS_SENTENCES,3,1,29.0,6.16,16.68,22.6,0.1
PromptStrategy.PREVIOUS_SENTENCES,3,2,28.05,7.12,17.4,22.78,0.16
PromptStrategy.PREVIOUS_SENTENCES,4,0,19.8,5.12,12.92,18.28,0.11
PromptStrategy.PREVIOUS_SENTENCES,4,1,29.17,5.51,15.75,22.15,0.16
PromptStrategy.PREVIOUS_SENTENCES,4,2,29.23,6.06,16.39,21.91,0.03
PromptStrategy.PREVIOUS_SENTENCES,4,3,26.11,6.26,16.13,21.47,0.1
PromptStrategy.PREVIOUS_SENTENCES,5,0,18.3,4.64,11.9,16.99,0.0
PromptStrategy.PREVIOUS_SENTENCES,5,1,30.52,5.13,15.35,22.45,0.02
PromptStrategy.PREVIOUS_SENTENCES,5,2,28.91,5.36,15.42,21.24,0.1
PromptStrategy.PREVIOUS_SENTENCES,5,3,27.77,5.21,15.77,21.39,0.02
PromptStrategy.PREVIOUS_SENTENCES,5,4,24.11,5.63,14.79,20.12,0.09
PromptStrategy.PREVIOUS_SENTENCES,6,0,18.16,4.45,11.8,16.96,0.04
PromptStrategy.PREVIOUS_SENTENCES,6,1,30.9,4.93,15.37,21.29,0.18
PromptStrategy.PREVIOUS_SENTENCES,6,2,29.52,4.84,15.5,20.78,0.18
PromptStrategy.PREVIOUS_SENTENCES,6,3,28.3,4.64,14.96,20.83,0.07
PromptStrategy.PREVIOUS_SENTENCES,6,4,25.91,4.59,14.63,20.44,0.03
PromptStrategy.PREVIOUS_SENTENCES,6,5,23.97,5.28,14.14,19.59,0.01
PromptStrategy.PREVIOUS_SENTENCES,7,0,17.21,3.87,11.03,16.0,0.0
PromptStrategy.PREVIOUS_SENTENCES,7,1,31.36,4.52,15.27,21.75,0.22
PromptStrategy.PREVIOUS_SENTENCES,7,2,30.0,4.78,15.14,21.41,0.12
PromptStrategy.PREVIOUS_SENTENCES,7,3,28.15,4.19,14.55,20.49,0.03
PromptStrategy.PREVIOUS_SENTENCES,7,4,26.36,4.26,14.27,20.2,0.16
PromptStrategy.PREVIOUS_SENTENCES,7,5,25.43,4.61,13.84,19.75,0.08
PromptStrategy.PREVIOUS_SENTENCES,7,6,23.06,4.65,13.77,18.73,0.08
PromptStrategy.PREVIOUS_SENTENCES,8,0,16.95,3.73,10.82,15.68,0.04
PromptStrategy.PREVIOUS_SENTENCES,8,1,31.34,4.14,14.86,21.84,0.25
PromptStrategy.PREVIOUS_SENTENCES,8,2,30.0,4.23,14.9,20.75,0.31
PromptStrategy.PREVIOUS_SENTENCES,8,3,28.96,4.26,14.9,20.93,0.17
PromptStrategy.PREVIOUS_SENTENCES,8,4,26.65,3.93,13.68,19.97,0.15
PromptStrategy.PREVIOUS_SENTENCES,8,5,26.25,4.09,13.87,19.81,0.11
PromptStrategy.PREVIOUS_SENTENCES,8,6,23.6,4.04,13.63,18.86,0.2
PromptStrategy.PREVIOUS_SENTENCES,8,7,25.46,4.1,13.82,19.24,0.01
PromptStrategy.PREVIOUS_SENTENCES,9,0,16.76,3.14,10.53,15.79,0.13
PromptStrategy.PREVIOUS_SENTENCES,9,1,31.55,3.86,14.87,21.27,0.22
PromptStrategy.PREVIOUS_SENTENCES,9,2,30.13,4.01,14.76,21.44,0.17
PromptStrategy.PREVIOUS_SENTENCES,9,3,28.27,3.97,14.23,20.35,0.23
PromptStrategy.PREVIOUS_SENTENCES,9,4,27.9,4.08,14.48,20.61,0.24
PromptStrategy.PREVIOUS_SENTENCES,9,5,26.75,3.88,13.87,20.01,0.18
PromptStrategy.PREVIOUS_SENTENCES,9,6,25.3,3.9,13.18,19.63,0.17
PromptStrategy.PREVIOUS_SENTENCES,9,7,26.51,4.1,13.6,19.61,0.26
PromptStrategy.PREVIOUS_SENTENCES,9,8,26.56,4.12,13.48,19.38,0.04
PromptStrategy.PREVIOUS_SENTENCES,10,0,16.65,3.07,10.56,15.45,0.21
PromptStrategy.PREVIOUS_SENTENCES,10,1,30.81,3.9,14.44,20.64,0.19
PromptStrategy.PREVIOUS_SENTENCES,10,2,30.6,4.13,14.58,20.9,0.21
PromptStrategy.PREVIOUS_SENTENCES,10,3,28.44,3.86,14.37,20.29,0.15
PromptStrategy.PREVIOUS_SENTENCES,10,4,27.39,4.09,14.05,20.25,0.01
PromptStrategy.PREVIOUS_SENTENCES,10,5,26.05,3.94,13.39,19.52,0.12
PromptStrategy.PREVIOUS_SENTENCES,10,6,24.78,3.93,12.99,19.06,0.19
PromptStrategy.PREVIOUS_SENTENCES,10,7,26.67,3.88,13.59,19.26,0.24
PromptStrategy.PREVIOUS_SENTENCES,10,8,27.1,3.85,13.65,19.47,0.09
PromptStrategy.PREVIOUS_SENTENCES,10,9,28.49,4.15,14.05,20.28,0.24
PromptStrategy.SECTION_CONTENTS,0,0,16.08,2.96,10.0,15.12,0.12
