n_samples,prompt_strategy,sentences_per_prompt,overlap,paper_id,total_triples,unique_s,unique_p,unique_o,bad_triples
8.0,PromptStrategy.SECTION_CONTENTS,1.0,0.0,10.1371/journal.pbio.1002198,12.0,7.0,12.0,10.0,0.0
8.0,PromptStrategy.SECTION_CONTENTS,1.0,0.0,10.1371/journal.pbio.1001127,16.0,16.0,11.0,13.0,0.0
8.0,PromptStrategy.SECTION_CONTENTS,1.0,0.0,10.1371/journal.pbio.0050254,19.0,1.0,18.0,19.0,0.0
8.0,PromptStrategy.SECTION_CONTENTS,1.0,0.0,10.1371/journal.pbio.0060159,7.0,5.0,7.0,7.0,0.0
8.0,PromptStrategy.SECTION_CONTENTS,1.0,0.0,10.1371/journal.pbio.1001555,11.0,5.0,8.0,11.0,0.0
8.0,PromptStrategy.SECTION_CONTENTS,1.0,0.0,10.1371/journal.pbio.0040072,8.0,6.0,7.0,8.0,0.0
8.0,PromptStrategy.SECTION_CONTENTS,1.0,0.0,10.1371/journal.pbio.0060202,10.0,7.0,10.0,9.0,0.0
8.0,PromptStrategy.SECTION_CONTENTS,1.0,0.0,10.1371/journal.pbio.0030386,7.0,5.0,7.0,7.0,0.0
8.0,PromptStrategy.SECTION_CONTENTS,1.0,0.0,10.1371/journal.pbio.0040157,10.0,4.0,8.0,7.0,0.0
8.0,PromptStrategy.SECTION_CONTENTS,1.0,0.0,10.1371/journal.pbio.1001251,8.0,6.0,7.0,8.0,0.0
8.0,PromptStrategy.SECTION_CONTENTS,1.0,0.0,10.1371/journal.pbio.0030079,5.0,5.0,4.0,4.0,0.0
8.0,PromptStrategy.SECTION_CONTENTS,1.0,0.0,10.1371/journal.pbio.0050177,15.0,2.0,15.0,13.0,0.0
8.0,PromptStrategy.SECTION_CONTENTS,1.0,0.0,10.1371/journal.pbio.0030339,19.0,7.0,15.0,19.0,0.0
8.0,PromptStrategy.SECTION_CONTENTS,1.0,0.0,10.1371/journal.pbio.1001046,10.0,2.0,10.0,10.0,0.0
8.0,PromptStrategy.SECTION_CONTENTS,1.0,0.0,10.1371/journal.pbio.3002176,19.0,2.0,19.0,19.0,0.0
8.0,PromptStrategy.SECTION_CONTENTS,1.0,0.0,10.1371/journal.pbio.0020363,12.0,2.0,8.0,12.0,0.0
8.0,PromptStrategy.SECTION_CONTENTS,1.0,0.0,10.1371/journal.pbio.1001234,15.0,13.0,10.0,11.0,0.0
8.0,PromptStrategy.SECTION_CONTENTS,1.0,0.0,10.1371/journal.pbio.2001402,14.0,7.0,11.0,14.0,0.0
8.0,PromptStrategy.SECTION_CONTENTS,1.0,0.0,10.1371/journal.pbio.0020294,11.0,7.0,11.0,11.0,0.0
8.0,PromptStrategy.SECTION_CONTENTS,1.0,0.0,10.1371/journal.pbio.0000042,6.0,3.0,5.0,6.0,0.0
8.0,PromptStrategy.SECTION_CONTENTS,1.0,0.0,10.1371/journal.pbio.2005143,23.0,13.0,17.0,23.0,0.0
8.0,PromptStrategy.SECTION_CONTENTS,1.0,0.0,10.1371/journal.pbio.0020442,14.0,3.0,6.0,12.0,0.0
