prompt_strategy,sentences_per_prompt,overlap,total_triples,unique_s,unique_p,unique_o,bad_triples
PromptStrategy.PREVIOUS_SENTENCES,1.0,0.0,25.76,10.82,19.77,24.22,0.04
PromptStrategy.PREVIOUS_SENTENCES,2.0,0.0,22.27,7.8,17.2,20.79,0.04
PromptStrategy.PREVIOUS_SENTENCES,2.0,1.0,29.94,8.84,21.03,24.54,0.0
PromptStrategy.PREVIOUS_SENTENCES,3.0,0.0,20.34,6.29,15.77,19.1,0.03
PromptStrategy.PREVIOUS_SENTENCES,3.0,1.0,27.81,6.87,19.15,22.3,0.12
PromptStrategy.PREVIOUS_SENTENCES,3.0,2.0,27.11,7.72,19.32,22.61,0.09
PromptStrategy.PREVIOUS_SENTENCES,4.0,0.0,18.57,5.34,14.72,17.61,0.0
PromptStrategy.PREVIOUS_SENTENCES,4.0,1.0,26.5,5.9,17.99,20.63,0.19
PromptStrategy.PREVIOUS_SENTENCES,4.0,2.0,27.35,6.34,18.63,21.9,0.1
PromptStrategy.PREVIOUS_SENTENCES,4.0,3.0,24.7,6.67,17.63,21.04,0.05
PromptStrategy.PREVIOUS_SENTENCES,5.0,0.0,17.69,4.52,13.89,16.7,0.15
PromptStrategy.PREVIOUS_SENTENCES,5.0,1.0,27.37,5.27,17.71,20.85,0.05
PromptStrategy.PREVIOUS_SENTENCES,5.0,2.0,26.3,5.46,17.86,20.69,0.13
PromptStrategy.PREVIOUS_SENTENCES,5.0,3.0,24.48,5.35,17.19,19.83,0.15
PromptStrategy.PREVIOUS_SENTENCES,5.0,4.0,23.28,6.07,17.07,20.18,0.04
PromptStrategy.PREVIOUS_SENTENCES,6.0,0.0,16.72,4.4,13.45,15.45,0.08
PromptStrategy.PREVIOUS_SENTENCES,6.0,1.0,27.66,5.04,18.21,20.72,0.15
PromptStrategy.PREVIOUS_SENTENCES,6.0,2.0,27.28,5.15,17.62,20.3,0.03
PromptStrategy.PREVIOUS_SENTENCES,6.0,3.0,23.5,4.85,16.52,18.8,0.02
PromptStrategy.PREVIOUS_SENTENCES,6.0,4.0,23.24,5.13,17.02,19.17,0.05
PromptStrategy.PREVIOUS_SENTENCES,6.0,5.0,22.28,5.47,16.16,18.36,0.05
PromptStrategy.PREVIOUS_SENTENCES,7.0,0.0,16.02,3.86,12.93,15.2,0.05
PromptStrategy.PREVIOUS_SENTENCES,7.0,1.0,27.29,4.92,17.83,20.48,0.06
PromptStrategy.PREVIOUS_SENTENCES,7.0,2.0,25.69,4.46,17.01,19.39,0.07
PromptStrategy.PREVIOUS_SENTENCES,7.0,3.0,25.27,4.56,17.33,19.97,0.08
PromptStrategy.PREVIOUS_SENTENCES,7.0,4.0,23.25,4.36,16.11,18.65,0.05
