prompt_strategy,sentences_per_prompt,overlap,total_triples,unique_s,unique_p,unique_o,bad_triples
PromptStrategy.PREVIOUS_SENTENCES,1,0,40.53,21.28,26.64,34.57,0
PromptStrategy.PREVIOUS_SENTENCES,2,0,33.31,16.62,21.68,28.57,0.04
PromptStrategy.PREVIOUS_SENTENCES,2,1,40.8,19.75,26.2,34.64,0.02
PromptStrategy.PREVIOUS_SENTENCES,3,0,30.17,14.79,19.42,26.16,0.08
PromptStrategy.PREVIOUS_SENTENCES,3,1,35.43,15.88,21.86,30.23,0.09
PromptStrategy.PREVIOUS_SENTENCES,3,2,37.9,18.26,24.48,32.68,0.02
PromptStrategy.PREVIOUS_SENTENCES,4,0,28.37,13.79,18.1,24.86,0.09
PromptStrategy.PREVIOUS_SENTENCES,4,1,32.38,14.95,20.37,28,0.16
PromptStrategy.PREVIOUS_SENTENCES,4,2,34.62,15.12,21.16,29.11,0.02
PromptStrategy.PREVIOUS_SENTENCES,4,3,35.42,17.18,22.96,30.57,0.02
PromptStrategy.PREVIOUS_SENTENCES,5,0,28.34,13.3,17.38,24.56,0.05
PromptStrategy.PREVIOUS_SENTENCES,5,1,30.26,13.37,18.81,26.23,0.13
PromptStrategy.PREVIOUS_SENTENCES,5,2,31.95,14.28,19.56,27.1,0.06
PromptStrategy.PREVIOUS_SENTENCES,5,3,34.08,14.67,20.42,28.69,0.06
PromptStrategy.PREVIOUS_SENTENCES,5,4,34.1,16.91,22.05,29.61,0.04
PromptStrategy.PREVIOUS_SENTENCES,6,0,26.29,12.7,16.77,23.29,0.02
PromptStrategy.PREVIOUS_SENTENCES,6,1,28.25,12.82,17.6,24.57,0.09
PromptStrategy.PREVIOUS_SENTENCES,6,2,29.71,13.26,18.15,25.73,0.05
PromptStrategy.PREVIOUS_SENTENCES,6,3,30.19,13.01,17.95,25.39,0.08
PromptStrategy.PREVIOUS_SENTENCES,6,4,32.51,14.15,19.6,27.26,0.07
PromptStrategy.PREVIOUS_SENTENCES,6,5,32.63,15.99,21.32,28.61,0
PromptStrategy.PREVIOUS_SENTENCES,7,0,25.46,12,15.41,22.39,0.14
PromptStrategy.PREVIOUS_SENTENCES,7,1,27.13,12.25,16.69,23.63,0.15
PromptStrategy.PREVIOUS_SENTENCES,7,2,28.31,12.68,17.43,24.38,0.16
PromptStrategy.PREVIOUS_SENTENCES,7,3,28.72,12.84,17.12,24.37,0.08
PromptStrategy.PREVIOUS_SENTENCES,7,4,30.84,13.1,18.7,26.16,0.1
PromptStrategy.PREVIOUS_SENTENCES,7,5,31.4,13.94,19.05,26.32,0.08
PromptStrategy.PREVIOUS_SENTENCES,7,6,32.82,15.83,21.12,27.97,0.23
PromptStrategy.PREVIOUS_SENTENCES,8,0,24.94,11.74,15.77,21.69,0.13
PromptStrategy.PREVIOUS_SENTENCES,8,1,25.22,11.74,15.76,21.87,0.12
PromptStrategy.PREVIOUS_SENTENCES,8,2,26.87,11.81,16.16,23.15,0.12
PromptStrategy.PREVIOUS_SENTENCES,8,3,28.06,12.37,16.81,24.2,0.18
PromptStrategy.PREVIOUS_SENTENCES,8,4,28.38,12.24,16.89,23.91,0.16
PromptStrategy.PREVIOUS_SENTENCES,8,5,30.39,13.5,18.75,25.62,0.02
PromptStrategy.PREVIOUS_SENTENCES,8,6,31.68,13.41,19.2,26.17,0.17
PromptStrategy.PREVIOUS_SENTENCES,8,7,32.42,14.96,20.56,27.8,0.09
PromptStrategy.PREVIOUS_SENTENCES,9,0,23.38,10.81,14.44,20.52,0.26
PromptStrategy.PREVIOUS_SENTENCES,9,1,24.16,10.86,14.92,20.93,0.04
PromptStrategy.PREVIOUS_SENTENCES,9,2,24.82,10.88,15.05,21.48,0.17
PromptStrategy.PREVIOUS_SENTENCES,9,3,24.45,10.98,15.11,20.92,0.13
PromptStrategy.PREVIOUS_SENTENCES,9,4,26.15,11.56,15.66,22,0.08
PromptStrategy.PREVIOUS_SENTENCES,9,5,27.23,11.72,16.28,23.04,0.04
PromptStrategy.PREVIOUS_SENTENCES,9,6,28.72,12.21,16.78,23.97,0.13
PromptStrategy.PREVIOUS_SENTENCES,9,7,28.74,12.42,17.83,24.5,0.12
PromptStrategy.PREVIOUS_SENTENCES,9,8,29.78,14.03,19.06,25.76,0.03
PromptStrategy.PREVIOUS_SENTENCES,10,0,21.76,10.11,13.34,19.18,0.07
PromptStrategy.PREVIOUS_SENTENCES,10,1,23.97,10.84,14.35,20.76,0.22
PromptStrategy.PREVIOUS_SENTENCES,10,2,23.61,10.8,14.68,20.69,0.13
PromptStrategy.PREVIOUS_SENTENCES,10,3,23.57,10.59,14.42,20.26,0.08
PromptStrategy.PREVIOUS_SENTENCES,10,4,24.51,10.36,15.01,20.83,0.03
