prompt_strategy,sentences_per_prompt,overlap,total_triples,unique_s,unique_p,unique_o,bad_triples
PromptStrategy.PREVIOUS_SENTENCES,1.0,0.0,46.96,28.22,36.02,42.0,0.08
PromptStrategy.PREVIOUS_SENTENCES,2.0,0.0,38.88,21.86,30.41,35.41,0.07
PromptStrategy.PREVIOUS_SENTENCES,2.0,1.0,46.26,25.2,35.04,39.61,0.11
PromptStrategy.PREVIOUS_SENTENCES,3.0,0.0,33.88,19.08,26.42,30.93,0.07
PromptStrategy.PREVIOUS_SENTENCES,3.0,1.0,36.99,20.83,28.95,33.09,0.06
PromptStrategy.PREVIOUS_SENTENCES,3.0,2.0,42.71,23.19,32.71,36.41,0.19
PromptStrategy.PREVIOUS_SENTENCES,4.0,0.0,29.99,16.71,24.29,27.7,0.04
PromptStrategy.PREVIOUS_SENTENCES,4.0,1.0,32.03,17.45,25.11,28.54,0.06
PromptStrategy.PREVIOUS_SENTENCES,4.0,2.0,35.75,18.84,27.65,31.59,0.18
PromptStrategy.PREVIOUS_SENTENCES,4.0,3.0,40.6,20.96,30.8,34.53,0.04
PromptStrategy.PREVIOUS_SENTENCES,5.0,0.0,29.36,15.63,23.21,26.81,0.16
PromptStrategy.PREVIOUS_SENTENCES,5.0,1.0,28.49,14.98,23.27,26.07,0.12
PromptStrategy.PREVIOUS_SENTENCES,5.0,2.0,31.16,16.25,23.9,27.9,0.07
PromptStrategy.PREVIOUS_SENTENCES,5.0,3.0,35.87,18.24,27.22,30.73,0.31
PromptStrategy.PREVIOUS_SENTENCES,5.0,4.0,39.64,20.33,29.49,34.06,0.11
PromptStrategy.PREVIOUS_SENTENCES,6.0,0.0,25.55,13.69,20.59,23.45,0.18
PromptStrategy.PREVIOUS_SENTENCES,6.0,1.0,26.43,14.51,21.44,23.8,0.24
PromptStrategy.PREVIOUS_SENTENCES,6.0,2.0,28.0,14.28,22.13,25.19,0.1
PromptStrategy.PREVIOUS_SENTENCES,6.0,3.0,30.96,15.26,23.9,27.09,0.1
PromptStrategy.PREVIOUS_SENTENCES,6.0,4.0,33.27,16.48,25.27,28.92,0.17
PromptStrategy.PREVIOUS_SENTENCES,6.0,5.0,37.67,18.68,28.25,32.25,0.19
PromptStrategy.PREVIOUS_SENTENCES,7.0,0.0,24.57,13.35,19.94,22.76,0.14
PromptStrategy.PREVIOUS_SENTENCES,7.0,1.0,24.17,13.07,19.59,22.11,0.11
PromptStrategy.PREVIOUS_SENTENCES,7.0,2.0,25.51,12.75,20.5,23.11,0.19
PromptStrategy.PREVIOUS_SENTENCES,7.0,3.0,27.75,14.09,21.42,24.58,0.19
PromptStrategy.PREVIOUS_SENTENCES,7.0,4.0,30.13,14.97,23.25,26.73,0.25
PromptStrategy.PREVIOUS_SENTENCES,7.0,5.0,33.36,16.26,25.12,28.49,0.21
PromptStrategy.PREVIOUS_SENTENCES,7.0,6.0,36.25,17.91,27.17,31.16,0.15
PromptStrategy.PREVIOUS_SENTENCES,8.0,0.0,23.12,12.48,18.65,21.53,0.06
PromptStrategy.PREVIOUS_SENTENCES,8.0,1.0,22.09,11.83,17.93,20.37,0.22
PromptStrategy.PREVIOUS_SENTENCES,8.0,2.0,23.17,11.77,18.51,21.3,0.11
