prompt_strategy,sentences_per_prompt,overlap,total_triples,unique_s,unique_p,unique_o,bad_triples
PromptStrategy.PREVIOUS_SENTENCES,1.0,0.0,68.67,29.08,40.89,52.5,0.16
PromptStrategy.PREVIOUS_SENTENCES,2.0,0.0,58.97,23.07,34.03,44.41,0.06
PromptStrategy.PREVIOUS_SENTENCES,2.0,1.0,82.02,27.94,43.73,53.18,0.37
PromptStrategy.PREVIOUS_SENTENCES,3.0,0.0,53.04,20.53,30.09,41.41,0.15
PromptStrategy.PREVIOUS_SENTENCES,3.0,1.0,61.37,22.88,33.72,43.84,0.2
PromptStrategy.PREVIOUS_SENTENCES,3.0,2.0,95.96,27.28,45.42,57.26,0.11
PromptStrategy.PREVIOUS_SENTENCES,4.0,0.0,47.28,18.33,26.52,37.82,0.11
PromptStrategy.PREVIOUS_SENTENCES,4.0,1.0,52.17,18.88,28.19,38.58,0.17
PromptStrategy.PREVIOUS_SENTENCES,4.0,2.0,67.07,21.36,33.97,45.02,0.1
PromptStrategy.PREVIOUS_SENTENCES,4.0,3.0,95.82,25.24,44.06,56.33,0.14
PromptStrategy.PREVIOUS_SENTENCES,5.0,0.0,43.31,17.44,24.34,35.07,0.23
PromptStrategy.PREVIOUS_SENTENCES,5.0,1.0,45.1,17.14,25.4,34.8,0.17
PromptStrategy.PREVIOUS_SENTENCES,5.0,2.0,55.27,19.76,28.52,39.88,0.18
PromptStrategy.PREVIOUS_SENTENCES,5.0,3.0,68.22,22.16,35.04,45.79,0.34
PromptStrategy.PREVIOUS_SENTENCES,5.0,4.0,88.56,24.74,41.25,54.2,0.35
PromptStrategy.PREVIOUS_SENTENCES,6.0,0.0,39.4,15.57,22.48,31.68,0.17
PromptStrategy.PREVIOUS_SENTENCES,6.0,1.0,41.35,16.17,23.26,32.89,0.28
PromptStrategy.PREVIOUS_SENTENCES,6.0,2.0,45.49,17.43,25.24,34.72,0.34
